COUNTRY,meanval,upperval,lowerval,Age,CNTRY,ISO3,Country.code
Bulgaria,3.478758278204349e-6,4.48395623680855e-6,2.6427823823191685e-6,0,BGR,BGR,100
Bulgaria,1.867600985804222e-6,2.4503962959013787e-6,1.3855729596974638e-6,1,BGR,BGR,100
Bulgaria,7.91499813006323e-7,1.0179515985787262e-6,6.043900634577622e-7,5,BGR,BGR,100
Bulgaria,8.380417411166177e-7,1.0774773779832844e-6,6.379345477859542e-7,10,BGR,BGR,100
Bulgaria,2.038532102367035e-6,2.6708212190378597e-6,1.5281364730890362e-6,15,BGR,BGR,100
Bulgaria,3.962568646461208e-6,5.17674687258098e-6,2.977318389080063e-6,20,BGR,BGR,100
Bulgaria,4.615281113275899e-6,5.945375833500358e-6,3.5724014528692973e-6,25,BGR,BGR,100
Bulgaria,7.516442990757001e-6,9.602577952775806e-6,5.762014458778869e-6,30,BGR,BGR,100
Bulgaria,9.656686931545314e-6,1.2320831843631102e-5,7.486560494674872e-6,35,BGR,BGR,100
Bulgaria,1.3576666595012587e-5,1.6986288814474685e-5,1.0873224356461205e-5,40,BGR,BGR,100
Bulgaria,2.340376707815025e-5,2.8452283863329694e-5,1.9144492444610434e-5,45,BGR,BGR,100
Bulgaria,2.9883834736231947e-5,3.6193355608352176e-5,2.456573067629773e-5,50,BGR,BGR,100
Bulgaria,3.405341870244836e-5,4.120379980840553e-5,2.7978540641137164e-5,55,BGR,BGR,100
Bulgaria,3.168776452238241e-5,3.902973987077215e-5,2.5531767772346788e-5,60,BGR,BGR,100
Bulgaria,2.5061766769191576e-5,3.070056597660259e-5,2.011637382255571e-5,65,BGR,BGR,100
Bulgaria,2.5657712742589752e-5,3.162075792714121e-5,2.0877929590190326e-5,70,BGR,BGR,100
Bulgaria,3.294164814483325e-5,3.9510926166167995e-5,2.7443499548508145e-5,75,BGR,BGR,100
Bulgaria,5.093411097600702e-5,6.144189112106845e-5,4.1738535642300086e-5,80,BGR,BGR,100
Bulgaria,4.752761448788766e-5,5.8377297478545676e-5,3.824150236116408e-5,85,BGR,BGR,100
Bulgaria,6.063904491563344e-5,7.38686982255448e-5,4.97225541247264e-5,90,BGR,BGR,100
Bulgaria,6.888367467003101e-5,8.31891654453948e-5,5.708485783371201e-5,95,BGR,BGR,100
Croatia,1.0010591716121508e-6,1.3167660195571625e-6,7.380470716843088e-7,0,HRV,HRV,191
Croatia,2.2088814493237187e-7,2.966776804041055e-7,1.6272312760094203e-7,1,HRV,HRV,191
Croatia,1.3182633857320576e-7,1.6676962306961802e-7,1.0677475633080028e-7,5,HRV,HRV,191
Croatia,9.935286222184815e-8,1.1223473376160092e-7,8.887256763266559e-8,10,HRV,HRV,191
Croatia,5.213826185721717e-7,7.054271281056533e-7,3.810072976229924e-7,15,HRV,HRV,191
Croatia,8.025645011501367e-7,1.0769577099103824e-6,5.85506357114183e-7,20,HRV,HRV,191
Croatia,1.3042273884237204e-6,1.702676863735515e-6,9.880668085262927e-7,25,HRV,HRV,191
Croatia,2.231671445494678e-6,2.9140364189366212e-6,1.6913149290810933e-6,30,HRV,HRV,191
Croatia,3.549504578066367e-6,4.564765924810829e-6,2.7684293117426202e-006,35,HRV,HRV,191
Croatia,4.155088070988131e-6,5.353888960706085e-6,3.201433982069005e-6,40,HRV,HRV,191
Croatia,6.839919561483628e-6,8.714255149520928e-6,5.337471831175552e-6,45,HRV,HRV,191
Croatia,1.1192174595695004e-5,1.4171331742598819e-5,8.845036236749847e-6,50,HRV,HRV,191
Croatia,1.1903790771493397e-5,1.490409031747359e-5,9.385819949441182e-6,55,HRV,HRV,191
Croatia,1.2405873377267857e-5,1.5793403307338802e-5,9.636435364114962e-6,60,HRV,HRV,191
Croatia,1.2399988620451597e-5,1.5357252385077585e-5,9.899937499895423e-6,65,HRV,HRV,191
Croatia,1.635926619941384e-5,2.0335310170286625e-5,1.3015931644418794e-5,70,HRV,HRV,191
Croatia,2.144187506819084e-5,2.6302551750112345e-5,1.747179486474582e-5,75,HRV,HRV,191
Croatia,3.7109399335451276e-5,4.5443780060577146e-5,3.0148853123553267e-5,80,HRV,HRV,191
Croatia,4.445038816359419e-5,5.60392175228049e-5,3.542791302757796e-5,85,HRV,HRV,191
Croatia,6.596793747798053e-5,8.219288271272663e-5,5.297289964960928e-5,90,HRV,HRV,191
Croatia,6.890812390598691e-5,8.74763938372816e-5,5.414231905959717e-5,95,HRV,HRV,191
Czech Republic,3.9954873283722347e-7,5.298228372915917e-7,2.981049824666587e-7,0,CZE,NA,NA
Czech Republic,2.3292809011142566e-7,3.049400733086444e-7,1.7734558917658122e-7,1,CZE,NA,NA
Czech Republic,1.3567116626995283e-7,1.7300445278213747e-7,1.0747110942729454e-7,5,CZE,NA,NA
Czech Republic,2.1470013306962933e-7,2.7374337949992995e-7,1.6491332420628767e-7,10,CZE,NA,NA
Czech Republic,1.455798332495334e-6,1.9178346058198425e-6,1.0832882745645224e-6,15,CZE,NA,NA
Czech Republic,2.5588302843966623e-6,3.3117581279793853e-6,1.948778978443502e-6,20,CZE,NA,NA
Czech Republic,2.6471806788177335e-6,3.3854198112121184e-6,2.0676702910594317e-6,25,CZE,NA,NA
Czech Republic,4.087107848105865e-6,5.175777302112495e-6,3.203390036457169e-6,30,CZE,NA,NA
Czech Republic,6.47192713107409e-6,8.036933393339418e-6,5.127518882293559e-6,35,CZE,NA,NA
Czech Republic,1.084067396075034e-5,1.336296476984164e-5,8.77123721938941e-6,40,CZE,NA,NA
Czech Republic,1.8565705899778015e-5,2.2450710511216814e-5,1.5345850690012343e-5,45,CZE,NA,NA
Czech Republic,2.6040669979627002e-5,3.102875747792787e-5,2.175381147213143e-5,50,CZE,NA,NA
Czech Republic,3.1819065392559e-5,3.777861582719317e-5,2.6573426586370928e-5,55,CZE,NA,NA
Czech Republic,3.0787068275414675e-5,3.718306788734156e-5,2.515275784689517e-5,60,CZE,NA,NA
