CNTRY,Year,Age,Pop,deaths,mx,qx,ax,lx,dx,Lx,Tx,ex
AUS,2016,0,313695.79,950.03,0.00302,0.00301,0.14,100000,301,99742,8288562,82.89
AUS,2016,1,1249487.24,199,1.6e-4,6.3e-4,1.61,99699,63,398644,8188820,82.14
AUS,2016,5,1551898.98,110,7e-5,3.5e-4,2.34,99636,35,498085,7790176,78.19
AUS,2016,10,1421275.3,123,9e-5,4.3e-4,2.95,99601,43,497916,7292091,73.21
AUS,2016,15,1472526.77,401,2.7e-4,0.00135,2.87,99558,134,497504,6794176,68.24
AUS,2016,20,1685249.64,723,4.3e-4,0.00213,2.55,99424,212,496600,6296672,63.33
AUS,2016,25,1800277.19,861,4.7e-4,0.00237,2.54,99212,235,495481,5800072,58.46
AUS,2016,30,1773359.75,1142,6.4e-4,0.00318,2.59,98977,315,494126,5304591,53.59
AUS,2016,35,1590351.79,1366,8.5e-4,0.00424,2.58,98662,418,492298,4810465,48.76
AUS,2016,40,1640876.16,2041.03,0.00125,0.00623,2.66,98244,612,489787,4318167,43.95
AUS,2016,45,1583557.1099999999,2892.11,0.00181,0.00899,2.65,97632,878,486097,3828379,39.21
AUS,2016,50,1554154.46,4179.18,0.00269,0.01339,2.7,96754,1295,480787,3342282,34.54
AUS,2016,55,1460897.95,5901.21,0.00401,0.01987,2.65,95459,1896,472840,2861496,29.98
AUS,2016,60,1293621.39,7817.3,0.006,0.02958,2.63,93563,2768,461267,2388656,25.53
AUS,2016,65,1174876.79,10989.4,0.0093,0.0455,2.69,90795,4131,444448,1927389,21.23
AUS,2016,70,870417.41,13810.51,0.01559,0.07525,2.7,86664,6521,418321,1482941,17.11
AUS,2016,75,640950.95,17593.67,0.02718,0.12782,2.68,80143,10244,376912,1064619,13.28
AUS,2016,80,451648.64,23060.87,0.05076,0.22677,2.65,69898,15851,312274,687708,9.84
AUS,2016,85,303809.16000000003,29171.1,0.09591,0.38876,2.56,54047,21011,219071,375434,6.95
AUS,2016,90,137510.44,24009.94,0.17226,0.5939,2.39,33036,19620,113899,156362,4.73
AUS,2016,95,34308.92,11087.44,0.29164,0.79,2.1,13416,10599,36341,42464,3.17
AUT,2017,0,86851,256,0.00294,0.00293,0.14,100000,293,99749,8163492,81.63
AUT,2017,1,338800,58,1.7e-4,6.8e-4,1.9,99707,68,398686,8063744,80.87
AUT,2017,5,414639,26,6e-5,3.1e-4,2.28,99639,31,498112,7665058,76.93
AUT,2017,10,423450,40,9e-5,4.7e-4,2.79,99608,47,497937,7166946,71.95
AUT,2017,15,453985,125,2.7e-4,0.00137,2.93,99561,137,497523,6669009,66.98
AUT,2017,20,553007,174,3.2e-4,0.00158,2.54,99425,157,496736,6171486,62.07
AUT,2017,25,598504,245,4.1e-4,0.00203,2.53,99268,202,495840,5674749,57.17
AUT,2017,30,598686,275,4.6e-4,0.00229,2.76,99066,227,494819,5178910,52.28
AUT,2017,35,572365,389,6.7e-4,0.00336,2.6,98838,332,493397,4684091,47.39
AUT,2017,40,582792,589,0.00102,0.00507,2.68,98507,500,491374,4190694,42.54
AUT,2017,45,684053,1117,0.00164,0.00817,2.74,98007,800,488224,3699320,37.75
AUT,2017,50,712250,2049,0.00287,0.01425,2.75,97206,1385,482918,3211096,33.03
AUT,2017,55,622986,3052,0.00485,0.02397,2.67,95821,2296,473765,2728178,28.47
AUT,2017,60,504980,4009,0.00786,0.03857,2.66,93525,3607,459183,2254413,24.1
AUT,2017,65,452914,5601,0.0124,0.06027,2.66,89918,5419,436902,1795229,19.97
AUT,2017,70,370922,7469,0.01984,0.09472,2.6,84498,8003,403299,1358328,16.08
AUT,2017,75,368181,11070,0.02992,0.13983,2.66,76495,10696,357462,955029,12.48
AUT,2017,80,210561,11944,0.05675,0.25048,2.66,65799,16481,290422,597566,9.08
AUT,2017,85,143254.02,16211,0.11289,0.44099,2.52,49318,21749,192655,307145,6.23
AUT,2017,90,65261.06,13341,0.20497,0.65971,2.3,27569,18187,88731,114490,4.15
AUT,2017,95,14362.97,5230,0.34459,0.84553,1.99,9381,7932,23020,25758,2.75
BEL,2015,0,124903,400,0.00325,0.00324,0.14,100000,324,99722,8089809,80.9
BEL,2015,1,520762,86,1.7e-4,6.7e-4,1.46,99676,67,398535,7990087,80.16
BEL,2015,5,653169,58,9e-5,4.4e-4,2.17,99609,44,497923,7591552,76.21
BEL,2015,10,616452,58,9e-5,4.7e-4,2.71,99566,47,497721,7093629,71.25
BEL,2015,15,630120,143,2.3e-4,0.00112,2.8,99519,112,497348,6595907,66.28
BEL,2015,20,698786,300,4.3e-4,0.00214,2.69,99407,213,496545,6098559,61.35
BEL,2015,25,719235,312,4.3e-4,0.00214,2.61,99195,213,495465,5602014,56.48
BEL,2015,30,736721,442,6e-4,0.003,2.54,98982,297,494179,5106549,51.59
BEL,2015,35,729580,608,8.3e-4,0.00413,2.63,98685,408,492458,4612370,46.74
BEL,2015,40,766628,966,0.00126,0.0063,2.75,98277,619,489997,4119913,41.92
BEL,2015,45,797598,1658,0.00208,0.01037,2.68,97659,1013,485938,3629916,37.17
BEL,2015,50,816666,2696,0.0033,0.01637,2.7,96646,1582,479586,3143979,32.53
BEL,2015,55,753248,4341,0.00575,0.02836,2.71,95064,2696,469137,2664393,28.03
BEL,2015,60,663444,5997,0.009,0.04407,2.64,92368,4070,452253,2195255,23.77
BEL,2015,65,594542,7798,0.01293,0.06274,2.63,88297,5540,428383,1743002,19.74
BEL,2015,70,427902,8513,0.01996,0.09535,2.67,82758,7891,395403,1314620,15.89
BEL,2015,75,397290,12963,0.0328,0.15237,2.67,74867,11407,347802,919217,12.28
